"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 10-Sep-2021",58147.04,56123.95,56402.05,,1808.58,1745.65,1754.30,
"00:00:00 31-Aug-2021",58962.06,57307.74,57704.96,,1833.93,1782.47,1794.82,
"00:00:00 21-Aug-2021",58618.04,57121.43,58209.73,,1823.22,1776.68,1810.52,
"00:00:00 11-Aug-2021",57723.29,55445.25,57264.98,,1795.40,1724.54,1781.14,
"00:00:00 01-Aug-2021",58891.65,54265.64,55524.82,,1831.74,1687.85,1727.01,
"00:00:00 22-Jul-2021",58923.96,57580.38,58329.65,,1832.74,1790.95,1814.25,
"00:00:00 12-Jul-2021",58954.82,57613.33,57958.95,,1833.70,1791.97,1802.72,
"00:00:00 02-Jul-2021",58458.90,57046.68,58082.41,,1818.28,1774.35,1806.56,
"00:00:00 22-Jun-2021",57707.86,56301.74,57090.24,,1794.92,1751.18,1775.70,
"00:00:00 12-Jun-2021",60372.83,56625.98,57343.43,,1877.80,1761.26,1783.58,
"00:00:00 02-Jun-2021",61395.71,59671.79,60355.79,,1909.62,1856.00,1877.27,
"00:00:00 23-May-2021",61621.09,60213.53,61052.18,,1916.63,1872.85,1898.94,
"00:00:00 13-May-2021",60758.16,58155.56,60492.92,,1889.79,1808.84,1881.54,
"00:00:00 03-May-2021",59330.34,56826.93,58438.48,,1845.38,1767.52,1817.64,
"00:00:00 23-Apr-2021",57742.10,56477.13,56879.65,,1795.98,1756.64,1769.15,
"00:00:00 13-Apr-2021",57802.70,55421.62,57332.82,,1797.86,1723.81,1783.25,
